,Num_Acc,mois,hrmn,lum,agg,int,atm,lat,long
31364,201800031365,12,1510,1,2,1,1.0,42.6943,2.90122
31365,201800031366,12,1555,1,2,1,1.0,42.69214,2.89912
31366,201800031367,12,1205,1,2,1,1.0,42.69673,2.88811
31367,201800031368,12,1330,1,2,1,1.0,42.70234,2.90411
31368,201800031369,12,745,2,2,1,1.0,42.72685,2.89935
31369,201800031370,12,1750,1,2,1,1.0,42.68482,2.90223
31370,201800031371,12,1932,5,2,1,1.0,42.69222,2.8915
31371,201800031372,12,500,5,2,2,1.0,42.69789,2.8877
31372,201800031373,12,1550,1,2,1,1.0,42.67401,2.88738
31373,201800031374,12,1000,1,2,1,1.0,42.68469,2.88207
31374,201800031375,12,527,5,2,1,1.0,42.67525,2.84869
31375,201800031376,12,1733,2,2,1,1.0,42.69454,2.88929
31376,201800031377,12,1005,1,2,1,1.0,42.68238,2.90992
31377,201800031378,12,1511,1,1,1,1.0,42.6745,2.8884
31378,201800031379,12,1916,4,1,1,1.0,42.70067,2.92418
31379,201800031380,12,2110,5,2,1,1.0,42.69866,2.88733
31380,201800031381,12,2239,5,2,1,1.0,42.69376,2.89039
31381,201800031382,12,2315,5,1,1,1.0,42.67135,2.85788
31382,201800031383,12,1100,1,2,1,1.0,42.74281,2.89262
31383,201800031384,12,1310,1,1,1,1.0,42.71798,2.87354
31384,201800031385,12,1518,1,2,1,1.0,42.69283,2.89157
31385,201800031386,12,1855,3,2,1,1.0,42.67101,2.85661
31386,201800031387,12,1415,1,2,1,1.0,42.69291,2.89996
31387,201800031388,1,1250,1,1,1,1.0,48.02001,5.02889
31388,201800031389,1,1415,1,1,1,1.0,48.03575,5.16003
31389,201800031390,4,1730,1,2,2,1.0,48.0207,5.05746
31390,201800031391,5,540,2,1,1,1.0,47.95924,4.99089
31391,201800031392,6,1945,1,1,1,1.0,47.98682,4.84327
31392,201800031393,6,1700,1,1,1,1.0,47.96927,5.1519
31393,201800031394,6,500,2,1,1,1.0,48.07829,4.93362
31394,201800031395,7,2030,1,1,1,1.0,48.06292,4.89377
31395,201800031396,7,500,2,2,4,1.0,48.06875,4.88118
31396,201800031397,8,1615,1,1,1,1.0,48.0819,4.77907
31397,201800031398,2,1554,1,2,6,2.0,43.74123,7.31126
31398,201800031399,3,1400,1,2,9,1.0,43.7406,7.31094
31399,201800031400,6,1230,1,2,1,1.0,43.73471,7.30456
