Num_Acc,catv,obs,obsm,manv
201800000379,07,00,2,19
201800000379,07,00,2,01
201800000380,07,00,0,23
201800000380,33,00,2,01
201800000381,07,00,2,01
201800000381,07,00,2,13
201800000382,21,00,2,01
201800000382,07,00,2,01
201800000383,07,00,2,01
201800000383,33,00,2,13
201800000384,31,09,0,13
201800000385,07,00,2,15
201800000385,31,00,2,00
201800000386,38,00,2,01
201800000386,14,00,2,15
201800000387,10,00,2,02
201800000387,02,00,0,02
201800000388,33,00,2,01
201800000388,07,00,2,01
201800000388,07,00,2,15
201800000389,33,12,0,01
201800000390,07,00,9,09
201800000390,01,00,2,01
201800000391,10,02,0,00
201800000392,07,15,0,00
201800000393,07,06,0,00
201800000394,07,02,0,01
201800000395,07,00,1,00
201800000396,02,00,2,00
201800000396,07,00,2,01
201800000397,07,00,2,01
201800000397,07,07,0,15
201800000398,07,00,2,15
201800000398,07,00,2,01
201800000399,07,00,2,13
201800000399,07,00,2,21
201800000400,07,00,1,01
201800000401,33,00,2,02
201800000401,17,00,2,02
201800000402,38,02,0,13
201800000403,07,00,2,13
201800000403,14,00,2,01
201800000404,07,01,0,15
201800000404,14,00,0,23
201800000405,10,00,1,01
201800000406,07,13,0,01
201800000407,07,00,1,01
201800000408,07,13,0,00
201800000409,10,00,2,15
201800000409,07,00,2,01
201800000410,07,09,0,01
201800000411,07,00,2,02
201800000411,07,00,2,02
201800000412,07,08,2,01
201800000412,02,00,2,16
201800000413,07,13,0,01
201800000414,01,00,0,00
201800000414,07,00,0,16
201800000415,07,00,0,00
201800000415,07,00,0,21
201800000416,07,00,9,17
201800000416,01,00,2,13
201800000417,07,00,2,01
201800000417,07,00,2,19
201800000418,07,00,2,15
201800000418,33,00,2,17
201800000419,33,00,0,01
201800000420,07,13,0,01
201800000421,02,00,0,15
201800000422,02,00,2,00
201800000422,07,00,2,00
201800000423,07,00,1,00
201800000424,07,00,1,01
201800000425,07,02,0,01
201800000426,31,01,0,02
201800000426,10,00,2,02
201800000427,07,00,2,02
201800000427,07,00,0,02
201800000428,10,00,2,02
201800000428,01,00,2,02
201800000429,02,00,2,01
201800000429,07,00,2,00
201800000430,07,00,2,09
201800000430,07,06,2,01
201800000431,07,00,2,01
201800000431,07,00,2,02
201800000431,07,00,2,00
201800000432,07,00,0,23
201800000432,07,00,2,01
201800000433,07,00,2,01
201800000433,07,00,2,01
201800000434,34,00,0,00
201800000435,10,00,2,01
201800000435,33,00,2,16
201800000436,07,00,1,02
201800000437,07,00,2,02
201800000437,07,03,0,02
201800000438,07,08,0,01
201800000439,07,02,0,14
201800000440,07,00,0,00
201800000440,33,00,2,01
201800000441,07,00,2,00
201800000441,07,00,2,00
201800000442,07,00,2,01
201800000442,01,00,2,19
201800000443,31,00,2,01
201800000443,10,00,2,01
201800000444,07,02,0,13
201800000445,07,00,0,00
201800000445,10,00,0,01
201800000446,07,00,2,17
201800000446,07,08,2,01
201800000447,07,00,1,19
201800000448,36,00,0,00
201800000449,07,00,2,13
201800000449,07,00,2,00
201800000450,07,00,1,15
201800000451,07,16,0,00
201800000452,10,00,0,02
201800000452,07,00,0,05
201800000453,33,00,2,17
201800000453,10,00,2,13
201800000454,33,00,2,01
201800000454,07,00,2,19
201800000455,07,00,1,01
201800000456,07,00,2,21
201800000456,01,00,2,19
201800000457,07,00,2,01
201800000457,13,00,2,01
201800000458,02,00,2,01
201800000458,07,00,2,19
201800000459,07,00,2,14
201800000459,07,00,2,01
201800000460,10,00,1,04
201800000461,31,12,0,14
201800000462,07,00,2,13
201800000462,01,00,2,01
201800000463,07,00,2,01
201800000463,07,00,2,15
201800000464,07,00,2,01
201800000464,07,00,2,01
201800000465,07,00,2,01
201800000465,07,00,2,00
201800000466,33,00,0,01
201800000466,07,00,0,00
201800000467,07,08,0,01
201800000468,07,13,0,01
201800000469,02,00,1,01
201800000470,07,00,2,01
201800000470,07,00,2,01
201800000471,07,02,0,01
201800000472,07,00,2,01
201800000472,07,00,0,16
201800000473,07,00,2,01
201800000473,07,03,2,15
201800000474,07,00,2,01
201800000474,07,00,0,10
201800000475,07,02,0,01
201800000476,33,03,0,01
201800000477,33,00,0,01
201800000478,33,08,2,01
201800000478,10,00,2,01
201800000478,07,00,2,01
201800000478,07,00,0,16
201800000479,07,00,1,01
201800000480,07,00,2,02
201800000480,07,00,2,02
201800000480,07,00,2,02
201800000481,07,02,0,01
201800000482,01,00,2,09
201800000482,10,00,0,13
201800000483,33,00,2,02
201800000483,10,00,2,02
201800000484,07,13,0,13
201800000485,33,12,0,13
201800000486,07,00,2,13
201800000486,01,00,2,01
201800000487,07,00,1,15
201800000488,33,00,2,01
201800000488,07,00,2,09
201800000489,07,00,2,01
201800000489,07,00,2,13
201800000490,07,00,2,15
201800000490,33,00,2,01
201800000491,07,00,2,01
201800000491,07,00,2,16
201800000492,07,00,2,09
201800000492,02,00,2,01
201800000493,33,00,2,01
201800000493,07,00,2,15
201800000494,01,00,2,01
201800000494,07,00,2,01
201800000495,01,00,2,01
201800000495,07,00,2,01
201800000496,07,08,0,01
201800000497,01,00,2,01
201800000497,07,00,2,15
201800000498,30,00,2,01
201800000498,07,00,2,17
201800000499,07,00,2,19
201800000499,17,00,2,01
201800000500,33,00,2,17
201800000500,07,00,2,15
201800000501,01,00,2,01
201800000501,07,00,2,13
201800000502,07,00,2,13
201800000502,07,00,2,01
201800000503,10,13,0,01
201800000504,07,00,2,01
201800000504,07,00,2,17
201800000504,07,00,2,01
201800000505,07,06,0,01
201800000506,02,14,0,01
201800000507,07,00,1,01
201800000508,07,08,0,01
201800000509,13,00,2,01
201800000509,07,00,2,13
201800000510,07,00,2,01
201800000510,07,00,2,01
201800000510,07,00,2,13
201800000510,07,00,2,01
201800000511,07,00,2,01
201800000511,02,00,2,19
201800000512,07,00,2,09
201800000512,01,00,2,01
201800000513,07,00,1,01
201800000514,07,15,0,01
201800000515,07,13,0,21
201800000516,07,00,2,01
201800000516,07,00,0,17
201800000516,07,00,2,17
201800000517,07,02,6,01
201800000518,10,00,1,01
201800000519,02,12,0,01
201800000520,07,13,0,01
201800000521,33,00,2,13
201800000521,07,00,2,01
201800000522,03,00,2,15
201800000522,34,00,2,01
201800000523,07,13,0,13
201800000524,07,00,2,02
201800000524,33,00,2,02
201800000525,07,00,2,09
201800000525,31,00,2,01
201800000526,07,00,2,15
201800000526,33,00,2,01
201800000527,02,00,2,13
201800000527,07,00,2,01
201800000528,03,00,2,17
201800000528,30,00,2,01
201800000529,31,00,2,17
201800000529,07,00,2,15
201800000530,02,00,0,01
201800000531,02,00,2,01
201800000531,07,00,2,15
201800000532,33,00,2,01
201800000532,07,00,2,15
201800000533,33,00,2,15
201800000533,10,00,2,13
201800000534,07,06,0,01
201800000535,02,13,0,13
201800000536,07,00,2,01
201800000536,33,00,2,02
201800000537,07,00,2,05
201800000537,07,00,2,01
201800000538,10,00,2,15
201800000538,10,00,2,01
201800000539,07,00,2,01
201800000539,33,00,2,13
201800000540,33,00,2,02
201800000540,07,00,2,02
201800000541,07,00,2,23
201800000541,07,00,2,02
201800000541,07,00,2,23
201800000542,33,00,2,01
201800000542,07,00,2,09
201800000543,21,00,2,15
201800000543,33,00,2,17
201800000544,33,00,2,01
201800000544,07,00,2,19
